,index,name,minutes,n_steps,ingredients,n_ingredients,ingredients_clean_processed,type
7685,200425,strawberries with balsamic vinegar,10,4,"['strawberry', 'sugar', 'balsamic vinegar', 'ground black pepper']",4,strawberry sugar balsamic vinegar ground black pepper,desserts
7686,200481,strawberry agua fresca,5,4,"['water', 'sugar', 'strawberries', 'fresh lime juice']",4,water sugar strawberries fresh lime juice,snacks
7753,202518,sue s lentil soup,140,10,"['carrot', 'celery', 'red onion', 'garlic cloves', 'olive oil', 'potatoes', 'crushed tomatoes', 'tomato paste', 'lentils', 'water', 'oregano', 'basil', 'parsley', 'flat leaf parsley', 'salt', 'pepper']",16,carrot celery red onion garlic cloves olive oil potatoes crushed tomatoes tomato paste lentils water oregano basil parsley flat leaf parsley salt pepper,main_meal
7786,203368,summertime juice,15,3,"['cucumbers', 'carrots', 'sweet apple', 'lemon']",4,cucumbers carrots sweet apple lemon,light_meal
7787,203370,summertime melon salad,135,8,"['frozen lemonade concentrate', 'orange marmalade', 'triple sec', 'melon balls', 'fresh strawberries', 'pineapple', 'cantaloupes', 'mint leaf']",8,frozen lemonade concentrate orange marmalade triple sec melon balls fresh strawberries pineapple cantaloupes mint leaf,light_meal
7804,203594,sunday morning hash browns potatoes   homemade,30,7,"['russet potatoes', 'onions', 'salt', 'fresh ground black pepper', 'olive oil']",5,russet potatoes onions salt fresh ground black pepper olive oil,light_meal
7806,203647,sunflower green beans,25,6,"['fresh green beans', 'sunflower seeds', 'olive oil', 'prepared mustard', 'garlic cloves', 'wine vinegar', 'salt', 'pepper']",8,fresh green beans sunflower seeds olive oil prepared mustard garlic cloves wine vinegar salt pepper,light_meal
7813,203714,sunny zucchini curry,40,17,"['oil', 'leek', 'garlic cloves', 'turmeric', 'chili powder', 'fresh green chile', 'sea salt', 'zucchini', 'cumin seed', 'unsweetened flaked coconut', 'soy cream']",11,oil leek garlic cloves turmeric chili powder fresh green chile sea salt zucchini cumin seed unsweetened flaked coconut soy cream,main_meal
7818,203758,sunset magazine s greens with pink grapefruit and borage flowers,15,8,"['pink grapefruit', 'walnut oil', 'shallot', 'kosher salt', 'pepper', 'greens', 'fresh edible flower']",7,pink grapefruit walnut oil shallot kosher salt pepper greens fresh edible flower,light_meal
7822,203855,super blue green smoothie,6,5,"['blueberries', 'orange juice', 'broccoli floret', 'soy yogurt', 'banana', 'cinnamon', 'honey']",7,blueberries orange juice broccoli floret soy yogurt banana cinnamon honey,snacks
7827,204000,super easy canned bean stew,20,4,"['carrots', 'onion', 'beans', 'broth', 'diced tomatoes', 'garlic powder']",6,carrots onion beans broth diced tomatoes garlic powder,main_meal
7856,204539,super vegan beer bread,65,9,"['all-purpose flour', 'baking powder', 'sea salt', 'raw sugar', 'earth balance margarine', 'beer', 'sesame seeds', 'margarine']",8,purpose flour baking powder sea salt raw sugar earth balance margarine beer sesame seeds margarine,snacks
7859,204587,super healthy  super spicy indian vegetable medley,50,10,"['onions', 'eggplant', 'tomatoes', 'carrots', 'green bell pepper', 'potatoes', 'garlic cloves', 'coriander', 'red peppers', 'curry powder', 'jalapeno pepper', 'basil', 'lemongrass', 'lemon']",14,onions eggplant tomatoes carrots green bell pepper potatoes garlic cloves coriander red peppers curry powder jalapeno pepper basil lemongrass lemon,main_meal
7865,204626,superfoods tuscan bean soup,190,26,"['dried cannellini beans', 'extra virgin olive oil', 'onion', 'garlic cloves', 'dried sage']",5,dried cannellini beans extra virgin olive oil onion garlic cloves dried sage,snacks
7911,205639,sweet and spicy kidney beans,30,9,"['olive oil', 'garlic', 'onion', 'salt', 'pepper', 'dried oregano', 'cinnamon', 'cumin', 'chili powder', 'tomatoes', 'kidney bean', 'black olives', 'barbecue sauce', 'red hot sauce', 'beer']",15,olive oil garlic onion salt pepper dried oregano cinnamon cumin chili powder tomatoes kidney bean black olives barbecue sauce red hot sauce beer,main_meal
7935,206076,sweet lemon tea paula deen,13,7,"['family-size tea bags', 'frozen lemonade concentrate', 'sugar', 'almond extract', 'lemon']",5,family size tea bags frozen lemonade concentrate sugar almond extract lemon,other
7968,206363,sweet potato and spicy carrot soup,60,6,"['olive oil', 'onion', 'sweet potatoes', 'carrots', 'vegetable stock', 'chili oil']",6,olive oil onion sweet potatoes carrots vegetable stock chili oil,main_meal
7989,206605,sweet potato salad with mustard vinaigrette,30,9,"['sweet potatoes', 'dijon mustard', 'white wine vinegar', 'salt', 'olive oil', 'scallions']",6,sweet potatoes dijon mustard white wine vinegar salt olive oil scallions,light_meal
7991,206623,sweet potato soup with harissa   spinach,50,8,"['olive oil', 'leeks', 'tomato paste', 'creamy peanut butter', 'harissa', 'garlic cloves', 'ground turmeric', 'ground cumin', 'sweet potatoes', 'low sodium vegetable broth', 'baby spinach leaves', 'lemon wedge']",12,olive oil leeks tomato paste creamy peanut butter harissa garlic cloves ground turmeric ground cumin sweet potatoes low sodium vegetable broth baby spinach leaves lemon wedge,main_meal
7992,206630,sweet potato spread,48,12,"['sweet potatoes', 'carrot', 'onion', 'water', 'tahini', 'curry', 'ground cumin']",7,sweet potatoes carrot onion water tahini curry ground cumin,snacks
8034,207490,szechuan eggplants,25,8,"['eggplants', 'peanut oil', 'chili oil', 'garlic', 'ginger', 'scallion', 'red bean paste', 'soy sauce', 'dry sherry', 'cider vinegar', 'sugar', 'szechuan peppercorns', 'cornstarch', 'water', 'sesame oil']",15,eggplants peanut oil chili oil garlic ginger scallion red bean paste soy sauce dry sherry cider vinegar sugar szechuan peppercorns cornstarch water sesame oil,main_meal
8036,207508,szechuan noodles  raw vegan,20,10,"['garlic cloves', 'fresh ginger', 'tahini', 'smooth peanut butter', 'soy sauce', 'dry sherry', 'sherry wine vinegar', 'honey', 'hot chili oil', 'dark sesame oil', 'fresh ground black pepper', 'ground cayenne pepper', 'noodles', 'red bell pepper', 'yellow bell pepper', 'scallions']",16,garlic cloves fresh ginger tahini smooth peanut butter soy sauce dry sherry sherry wine vinegar honey hot chili oil dark sesame oil fresh ground black pepper ground cayenne pepper noodles red bell pepper yellow bell pepper scallions,main_meal
8108,208957,tasty grilled tofu on a stick,225,10,"['extra firm tofu', 'spicy mustard', 'seasoned dry bread crumb', 'chili pepper', 'olive oil']",5,extra firm tofu spicy mustard seasoned dry bread crumb chili pepper olive oil,snacks
8111,209034,tasty taco sauce,60,12,"['tomato sauce', 'water', 'white vinegar', 'green bell pepper', 'paprika', 'cumin', 'onion powder', 'garlic powder', 'cayenne', 'sugar', 'salt', 'ground coriander', 'ground oregano']",13,tomato sauce water white vinegar green bell pepper paprika cumin onion powder garlic powder cayenne sugar salt ground coriander ground oregano,other
8121,209211,tea poached prunes   kumquats,35,11,"['sugar', 'tea bags', 'prunes', 'lemon zest', 'kumquats']",5,sugar tea bags prunes lemon zest kumquats,breakfast
8141,209303,tempeh sweet potato coconut curry,65,13,"['canola oil', 'onions', 'salt', 'tamarind pulp', 'fresh ginger', 'fresh garlic', 'ground coriander', 'ground turmeric', 'crushed red pepper flakes', 'cinnamon', 'sweet potatoes', 'water', 'coconut milk', 'tempeh', 'fresh lime juice', 'soy sauce']",16,canola oil onions salt tamarind pulp fresh ginger fresh garlic ground coriander ground turmeric crushed red pepper flakes cinnamon sweet potatoes water coconut milk tempeh fresh lime juice soy sauce,snacks
8175,210371,thai black bean   corn salad,75,4,"['black beans', 'frozen corn kernels', 'red bell pepper', 'white onion', 'scallions', 'fresh cilantro', 'soy ginger broth', 'thai red curry paste', 'lime, juice of', 'lime, zest of', 'sesame oil']",11,black beans frozen corn kernels red bell pepper white onion scallions fresh cilantro soy ginger broth thai red curry paste lime juice lime zest sesame oil,main_meal
8178,210377,thai butternut squash and corn bisque,80,10,"['coconut milk', 'vegetable stock', 'lemongrass', 'galangal', 'kaffir lime leaves', 'thai red curry paste', 'paprika', 'butternut squash', 'sweet potato', 'yukon gold potato', 'onion', 'garlic cloves', 'ginger', 'corn kernels', 'soy sauce', 'fresh lime juice', 'cilantro leaf', 'thai red chili pepper', 'scallion top']",19,coconut milk vegetable stock lemongrass galangal kaffir lime leaves thai red curry paste paprika butternut squash sweet potato yukon gold potato onion garlic cloves ginger corn kernels soy sauce fresh lime juice cilantro leaf thai red chili pepper scallion top,main_meal
8180,210382,thai cabbage slaw,5,3,"['lime juice', 'rice vinegar', 'soy sauce', 'peanut butter', 'water', 'chili-garlic sauce', 'garlic clove', 'cabbage', 'carrot', 'fresh cilantro']",10,lime juice rice vinegar soy sauce peanut butter water chili garlic sauce garlic clove cabbage carrot fresh cilantro,snacks
8188,210604,thai green curry with butternut squash and yellow peppers  veget,50,9,"['vegetable oil', 'onion', 'yellow bell peppers', 'green curry paste', 'garlic cloves', 'butternut squash', 'light coconut milk', 'spinach leaves', 'cilantro', 'basil']",10,vegetable oil onion yellow bell peppers green curry paste garlic cloves butternut squash light coconut milk spinach leaves cilantro basil,main_meal
8192,210714,thai pineapple fried rice   pad kao saparod,19,5,"['vegetable oil', 'onion', 'garlic', 'carrot', 'green beans', 'fresh pineapple chunks', 'cooked rice', 'ketchup', 'salt', 'cucumber', 'green onions', 'fresh cilantro']",12,vegetable oil onion garlic carrot green beans fresh pineapple chunks cooked rice ketchup salt cucumber green onions fresh cilantro,snacks
8198,210854,thai spicy soup   vegan,45,7,"['water', 'lemongrass', 'galanga root', 'kaffir lime leaves', 'chili paste', 'mushroom', 'onion', 'oil', 'lemon juice', 'vegetarian oyster sauce', 'tomatoes', 'chile', 'light soy sauce', 'coriander']",14,water lemongrass galanga root kaffir lime leaves chili paste mushroom onion oil lemon juice vegetarian oyster sauce tomatoes chile light soy sauce coriander,main_meal
8199,210877,thai stir fry,20,6,"['basmati rice', 'green onion', 'broccoli', 'carrots', 'peanut sauce', 'vegetable broth', 'cornstarch', 'cilantro', 'dry roasted peanuts']",9,basmati rice green onion broccoli carrots peanut sauce vegetable broth cornstarch cilantro dry roasted peanuts,main_meal
8201,210883,thai style broccoli salad,14,7,"['chunky peanut butter', 'sugar', 'hot water', 'fresh lime juice', 'soy sauce', 'sesame oil', 'red pepper flakes', 'canola oil', 'fresh broccoli florets', 'red bell pepper', 'onion', 'garlic', 'peanuts']",13,chunky peanut butter sugar hot water fresh lime juice soy sauce sesame oil red pepper flakes canola oil fresh broccoli florets red bell pepper onion garlic peanuts,other
8205,210921,thai sweet and sour cucumber salad,15,8,"['white vinegar', 'water', 'sugar', 'salt', 'cucumber', 'red onion', 'dry roasted salted peanut', 'fresh cilantro', 'cilantro leaf']",9,white vinegar water sugar salt cucumber red onion dry roasted salted peanut fresh cilantro cilantro leaf,main_meal
8206,210922,thai sweet garlicky cauliflower with red pepper strips,30,10,"['canola oil', 'garlic', 'cauliflower', 'water', 'onion', 'red bell pepper', 'yellow bell pepper', 'tamari', 'sugar', 'salt']",10,canola oil garlic cauliflower water onion red bell pepper yellow bell pepper tamari sugar salt,light_meal
8208,210934,thai tofu curry with potatoes and pineapple,50,9,"['shallots', 'garlic clove', 'serrano pepper', 'galangal', 'fresh lemongrass', 'soy sauce', 'light brown sugar', 'ground cardamom', 'ground coriander', 'turmeric', 'ground cumin', 'ground cinnamon', 'peanut oil', 'water', 'yellow onion', 'vegetable stock', 'extra firm tofu', 'pineapple chunk', 'unsweetened coconut milk']",19,shallots garlic clove serrano pepper galangal fresh lemongrass soy sauce light brown sugar ground cardamom ground coriander turmeric ground cumin ground cinnamon peanut oil water yellow onion vegetable stock extra firm tofu pineapple chunk unsweetened coconut milk,main_meal
8211,210957,thai vegan fried rice  khao phad jay,27,9,"['cooked long-grain rice', 'vegetable oil', 'garlic', 'onion', 'fresh ground black pepper', 'green beans', 'frozen corn kernels', 'soy sauce', 'green curry paste', 'scallions', 'cucumber', 'lime']",12,cooked long grain rice vegetable oil garlic onion fresh ground black pepper green beans frozen corn kernels soy sauce green curry paste scallions cucumber lime,snacks
8212,210961,thai vegetable tofu soup,30,6,"['garlic cloves', 'vegetable oil', 'vegetable broth', 'soy sauce', 'firm tofu', 'vegetables', 'fresh cilantro', 'fresh cracked pepper', 'hot sauce']",9,garlic cloves vegetable oil vegetable broth soy sauce firm tofu vegetables fresh cilantro fresh cracked pepper hot sauce,main_meal
8220,211059,thanksgiving for 10  new pasta salad,30,7,"['bulb of garlic', 'balsamic vinegar', 'olive oil', 'vegetables', 'pasta']",5,bulb garlic balsamic vinegar olive oil vegetables pasta,snacks
8228,211483,the best fast broccoli,15,5,"['broccoli', 'olive oil', 'garlic cloves', 'ground ginger', 'soy sauce']",5,broccoli olive oil garlic cloves ground ginger soy sauce,light_meal
8237,211772,the best vegan oat   walnut waffles  or pancakes,30,11,"['unbleached white flour', 'whole wheat flour', 'salt', 'baking powder', 'ground cinnamon', 'ground nutmeg', 'walnuts', 'quick-cooking oats', 'vanilla-flavored soymilk', 'vegetable oil', 'pure maple syrup']",11,unbleached white flour whole wheat flour salt baking powder ground cinnamon ground nutmeg walnuts quick cooking oats vanilla flavored soymilk vegetable oil pure maple syrup,breakfast
8239,211792,the bestest cheezie sauce,20,9,"['cashews', 'sunflower seeds', 'red pepper', 'oats', 'nutritional yeast', 'cornstarch', 'lemon juice', 'salt', 'onion powder', 'maple syrup', 'water']",11,cashews sunflower seeds red pepper oats nutritional yeast cornstarch lemon juice salt onion powder maple syrup water,snacks
8294,213435,tibetan style seitan burritos,60,13,"['onions', 'vegetable oil', 'garlic', 'fresh gingerroot', 'salt', 'cabbage', 'chili paste', 'carrots', 'seitan', 'dark sesame oil', 'flour tortillas']",11,onions vegetable oil garlic fresh gingerroot salt cabbage chili paste carrots seitan dark sesame oil flour tortillas,main_meal
8317,214238,tofu and broccoli in garlic sauce recipe,20,6,"['onion', 'garlic cloves', 'olive oil', 'broccoli', 'firm tofu', 'ginger powder', 'cayenne pepper', 'cornstarch', 'soy sauce', 'water']",10,onion garlic cloves olive oil broccoli firm tofu ginger powder cayenne pepper cornstarch soy sauce water,snacks
8318,214239,tofu and broccoli stir fry  martha stewart,40,20,"['firm tofu', 'broccoli', 'coarse salt', 'vegetable oil', 'soy sauce', 'rice vinegar', 'red pepper flakes', 'garlic cloves', 'cornstarch', 'cashews']",10,firm tofu broccoli coarse salt vegetable oil soy sauce rice vinegar red pepper flakes garlic cloves cornstarch cashews,main_meal
8320,214241,tofu and broccoli with peanut sauce,60,30,"['peanut butter', 'hot water', 'cider vinegar', 'tamari', 'blackstrap molasses', 'cayenne pepper', 'fresh broccoli', 'oil', 'garlic', 'tofu', 'salt', 'onions', 'peanuts']",13,peanut butter hot water cider vinegar tamari blackstrap molasses cayenne pepper fresh broccoli oil garlic tofu salt onions peanuts,snacks
8332,214269,tofu boursin,30,8,"['firm tofu', 'vegan mayonnaise', 'umeboshi plum paste', 'dried basil', 'dried marjoram', 'dried thyme', 'garlic', 'pepper', 'ground rosemary']",9,firm tofu vegan mayonnaise umeboshi plum paste dried basil dried marjoram dried thyme garlic pepper ground rosemary,snacks
8337,214283,tofu chips,130,8,"['firm tofu', 'nutritional yeast', 'canola oil']",3,firm tofu nutritional yeast canola oil,snacks
8340,214288,tofu chocolate pudding,15,9,"['mori-nu firm tofu', 'semi-sweet chocolate chips', 'water']",3,mori nu firm tofu semi sweet chocolate chips water,main_meal
8347,214297,tofu croquettes with cranberry sauce,35,13,"['firm tofu', 'onion', 'carrots', 'celery', 'roasted sesame seeds', 'whole wheat breadcrumbs', 'dried herbs', 'soya sauce', 'seasoning', 'vegetable oil', 'vegan margarine', 'whole wheat flour', 'water', 'orange juice', 'fresh cranberries']",15,firm tofu onion carrots celery roasted sesame seeds whole wheat breadcrumbs dried herbs soya sauce seasoning vegetable oil vegan margarine whole wheat flour water orange juice fresh cranberries,main_meal
8362,214337,tofu medallions,35,10,"['firm tofu', 'olive oil', 'whole wheat flour', 'salt', 'fresh ground pepper', 'garlic powder', 'italian seasoning']",7,firm tofu olive oil whole wheat flour salt fresh ground pepper garlic powder italian seasoning,snacks
8366,214344,tofu nut balls,70,14,"['old fashioned oats', 'pecans', 'garlic', 'sage', 'oregano', 'salt', 'black pepper', 'lemon juice', 'firm tofu', 'water', 'olive oil']",11,old fashioned oats pecans garlic sage oregano salt black pepper lemon juice firm tofu water olive oil,snacks
8394,214421,tofu  apple  almond pita pocket,10,4,"['baked tofu', 'apple', 'almonds', 'lemon juice', 'tofu mayonnaise', 'fresh chives', 'fresh parsley']",7,baked tofu apple almonds lemon juice tofu mayonnaise fresh chives fresh parsley,main_meal
8422,214697,tomato and paprika soup,70,14,"['fresh tomatoes', 'potatoes', 'onion', 'celery', 'garlic cloves', 'vegetable bouillon cubes', 'paprika', 'dried basil', 'tomato juice', 'black pepper']",10,fresh tomatoes potatoes onion celery garlic cloves vegetable bouillon cubes paprika dried basil tomato juice black pepper,main_meal
8445,214946,tomato lentil stew,25,6,"['lentils', 'onions', 'oil', 'chopped tomatoes', 'water', 'oregano', 'basil', 'black pepper', 'salt']",9,lentils onions oil chopped tomatoes water oregano basil black pepper salt,main_meal
8468,215338,tomato thyme roasted squash or zucchini with fennel,25,7,"['zucchini', 'fennel bulb', 'garlic cloves', 'olive oil', 'salt', 'pepper', 'fresh thyme sprigs', 'tomatoes']",8,zucchini fennel bulb garlic cloves olive oil salt pepper fresh thyme sprigs tomatoes,other
8489,216014,trader joe s southwestern couscous salad,30,4,"['israeli couscous', 'chile salsa', 'seedless cucumber', 'red bell pepper', 'green onion', 'balsamic vinegar']",6,israeli couscous chile salsa seedless cucumber red bell pepper green onion balsamic vinegar,snacks
8490,216022,traditional  fried green tomatoes,35,6,"['green tomatoes', 'flour', 'salt', 'black pepper', 'cayenne pepper', 'oil']",6,green tomatoes flour salt black pepper cayenne pepper oil,main_meal
8499,216216,traditional swiss chard and beans   from vegweb com,25,6,"['swiss chard', 'onion', 'garlic cloves', 'navy beans', 'olive oil', 'salt', 'pepper']",7,swiss chard onion garlic cloves navy beans olive oil salt pepper,light_meal
8525,216850,tropical quinoa cereal  la mode,20,8,"['quinoa', 'water', 'banana', 'strawberries', 'pineapple', 'rice milk', 'raw sugar', 'soy ice cream']",8,quinoa water banana strawberries pineapple rice milk raw sugar soy ice cream,snacks
8531,217163,tsukemono  japanese cabbage salad,15,9,"['green cabbage', 'napa cabbage', 'rice vinegar', 'sugar', 'salt']",5,green cabbage napa cabbage rice vinegar sugar salt,other
8538,217742,tunisian summer squash,20,4,"['crookneck yellow squash', 'zucchini', 'onion', 'olive oil', 'paprika', 'cumin', 'pepper', 'salt', 'caraway seed', 'red pepper flakes', 'garlic cloves', 'water']",12,crookneck yellow squash zucchini onion olive oil paprika cumin pepper salt caraway seed red pepper flakes garlic cloves water,other
8603,219312,udon noodles with walnuts and pomegranates,25,8,"['udon noodles', 'broccoli', 'red pepper', 'walnut oil', 'tofu', 'garlic cloves', 'walnuts', 'maple syrup', 'pomegranate seeds', 'green onions']",10,udon noodles broccoli red pepper walnut oil tofu garlic cloves walnuts maple syrup pomegranate seeds green onions,snacks
8608,219408,ukranian pickled beets,4335,4,"['beets', 'vinegar', 'white sugar', 'salt', 'whole allspice', 'cloves', 'cinnamon stick']",7,beets vinegar white sugar salt whole allspice cloves cinnamon stick,snacks
8612,219575,ultimate peanut chutney,10,2,"['peanuts', 'garlic paste', 'ginger paste', 'tamarind paste', 'green chilies', 'dry coconut powder', 'fresh coriander leaves']",7,peanuts garlic paste ginger paste tamarind paste green chilies dry coconut powder fresh coriander leaves,other
8619,219871,uncle bill s simple vegetable borscht,65,12,"['margarine', 'onion', 'carrot', 'green pepper', 'sweet red pepper', 'green cabbage', 'red cabbage', 'beet', 'water', 'vegetable broth', 'potato', 'tomato paste', 'garlic cloves', 'bay leaf', 'black peppercorns', 'cauliflower floret', 'celery rib', 'red apple', 'hungarian paprika', 'soy sauce', 'dried dill weed', 'lemon juice']",22,margarine onion carrot green pepper sweet red pepper green cabbage red cabbage beet water vegetable broth potato tomato paste garlic cloves bay leaf black peppercorns cauliflower floret celery rib red apple hungarian paprika soy sauce dried dill weed lemon juice,main_meal
8620,219952,uncooked applesauce,30,3,"['granny smith apples', 'red apples', 'cinnamon', 'dates', 'raisins']",5,granny smith apples red apples cinnamon dates raisins,light_meal
8622,219956,uncooked hemp and flax protein bars,20,6,"['ground flax seeds', 'hemp seeds', 'rolled oats', 'dried cranberries', 'coconut milk', 'unsalted natural-style peanut butter', 'maple syrup']",7,ground flax seeds hemp seeds rolled oats dried cranberries coconut milk unsalted natural style peanut butter maple syrup,snacks
8647,220564,vanilla eggless and dairy free vegan cake,40,9,"['unbleached all-purpose flour', 'sugar', 'baking soda', 'salt', 'vegetable oil', 'soymilk', 'vanilla extract', 'vinegar']",8,unbleached purpose flour sugar baking soda salt vegetable oil soymilk vanilla extract vinegar,desserts
8671,220939,vegan  strict vegetarian  pumpkin pie,130,10,"['silken tofu', 'pumpkin', 'brown sugar', 'salt', 'pumpkin pie spice', 'cinnamon', 'dried ginger', 'ground cloves', 'allspice', 'nutmeg', 'vegan pie crusts']",11,silken tofu pumpkin brown sugar salt pumpkin pie spice cinnamon dried ginger ground cloves allspice nutmeg vegan pie crusts,snacks
8674,220944,vegan almond biscotti,75,18,"['whole wheat pastry flour', 'all-purpose flour', 'baking powder', 'salt', 'unbleached cane sugar', 'unsweetened applesauce', 'vegetable oil', 'vanilla extract', 'almond extract', 'almonds']",10,whole wheat pastry flour purpose flour baking powder salt unbleached cane sugar unsweetened applesauce vegetable oil vanilla extract almond extract almonds,main_meal
8690,220962,vegan apple shake,10,1,"['apple', 'water', 'unsweetened applesauce', 'cinnamon', 'vanilla']",5,apple water unsweetened applesauce cinnamon vanilla,snacks
8696,220971,vegan arroz con gandules,35,25,"['white rice', 'vegetable broth', 'vegetable bouillon cubes', 'sazon con azafran seasoning', 'red bell pepper', 'onions', 'garlic cloves', 'capers', 'black pepper', 'olive oil', 'pigeon peas', 'sea salt', 'vegan butter']",13,white rice vegetable broth vegetable bouillon cubes sazon con azafran seasoning red bell pepper onions garlic cloves capers black pepper olive oil pigeon peas sea salt vegan butter,snacks
8703,220979,vegan baked beans a la crock pot,510,13,"['dried navy beans', 'unsulphured molasses', 'brown sugar', 'mustard powder', 'cayenne', 'nutritional yeast', 'liquid smoke', 'braggs liquid aminos', 'onions', 'garlic cloves', 'sea salt', 'pepper', 'water', 'bay leaves']",14,dried navy beans unsulphured molasses brown sugar mustard powder cayenne nutritional yeast liquid smoke braggs liquid aminos onions garlic cloves sea salt pepper water bay leaves,main_meal
8707,220984,vegan banana biscuits,30,9,"['bananas', 'soymilk', 'canola oil', 'unbleached white flour', 'baking powder']",5,bananas soymilk canola oil unbleached white flour baking powder,snacks
8720,221004,vegan bean taco filling,30,8,"['olive oil', 'onion', 'garlic cloves', 'bell pepper', 'black beans', 'yellow cornmeal', 'cumin', 'paprika', 'cayenne pepper', 'chili powder', 'salsa']",11,olive oil onion garlic cloves bell pepper black beans yellow cornmeal cumin paprika cayenne pepper chili powder salsa,snacks
8727,221012,vegan black bean brownies,40,6,"['black beans', 'bananas', 'agave nectar', 'unsweetened cocoa', 'cinnamon', 'vanilla extract', 'raw sugar', 'instant oats']",8,black beans bananas agave nectar unsweetened cocoa cinnamon vanilla extract raw sugar instant oats,desserts
8746,221039,vegan bubble squeak cakes,40,27,"['potatoes', 'earth balance margarine', 'brussels sprouts', 'flour', 'old bay seasoning', 'oil']",6,potatoes earth balance margarine brussels sprouts flour old bay seasoning oil,main_meal
8747,221041,vegan butter,10,2,"['avocado', 'fresh lemon juice', 'salt', 'cayenne pepper']",4,avocado fresh lemon juice salt cayenne pepper,light_meal
8749,221043,vegan butternut squash thai curry crepes with coconut ginger pea,90,33,"['chickpea flour', 'white flour', 'salt', 'extra virgin olive oil', 'warm water', 'coconut milk', 'green curry paste', 'water', 'butternut squash', 'basil', 'unbleached cane sugar', 'red pepper', 'fresh ginger', 'peanut butter', 'peanuts', 'basil leaves', 'unsweetened flaked coconut']",17,chickpea flour white flour salt extra virgin olive oil warm water coconut milk green curry paste water butternut squash basil unbleached cane sugar red pepper fresh ginger peanut butter peanuts basil leaves unsweetened flaked coconut,snacks
8750,221044,vegan cabbage  carrot and potato soup,45,5,"['cabbage', 'lettuce', 'carrots', 'potatoes', 'onion', 'garlic cloves', 'chickpeas', 'salt', 'vegetable broth']",9,cabbage lettuce carrots potatoes onion garlic cloves chickpeas salt vegetable broth,main_meal
8759,221056,vegan challah,150,14,"['dry active yeast', 'warm water', 'unbleached flour', 'whole wheat pastry flour', 'soy flour', 'salt', 'brown sugar', 'vegetable oil', 'bananas', 'boiling water', 'cold water']",11,dry active yeast warm water unbleached flour whole wheat pastry flour soy flour salt brown sugar vegetable oil bananas boiling water cold water,light_meal
8760,221057,vegan cheese fondue,25,11,"['white wine', 'water', 'nutritional yeast flakes', 'quick-cooking rolled oats', 'tahini', 'arrowroot', 'fresh lemon juice', 'onion powder', 'salt', 'dijon mustard', 'white pepper']",11,white wine water nutritional yeast flakes quick cooking rolled oats tahini arrowroot fresh lemon juice onion powder salt dijon mustard white pepper,snacks
8774,221077,vegan chocolate applesauce cake,65,8,"['flour', 'sugar', 'cornstarch', 'baking soda', 'salt', 'cocoa', 'applesauce']",7,flour sugar cornstarch baking soda salt cocoa applesauce,light_meal
8775,221078,vegan chocolate bran muffins,35,5,"['all-bran cereal', 'water', 'ground flax seed', 'oil', 'brown sugar', 'flour', 'baking powder', 'baking soda', 'chocolate chips']",9,bran cereal water ground flax seed oil brown sugar flour baking powder baking soda chocolate chips,snacks
8777,221081,vegan chocolate cake with chocolate ganache frosting,55,14,"['unbleached white flour', 'pastry flour', 'baking powder', 'baking soda', 'sweetened cocoa powder', 'sea salt', 'ground cinnamon', 'sugar', 'soymilk', 'pure maple syrup', 'safflower oil', 'apple cider vinegar', 'vanilla extract', 'almond extract', 'non-dairy chocolate chips', 'vanilla-flavored soymilk', 'brewed coffee']",17,unbleached white flour pastry flour baking powder baking soda sweetened cocoa powder sea salt ground cinnamon sugar soymilk pure maple syrup safflower oil apple cider vinegar vanilla extract almond extract non dairy chocolate chips vanilla flavored soymilk brewed coffee,desserts
8779,221084,vegan chocolate carob farina nut cookies,25,8,"['peanut butter', 'canola oil', 'sugar', 'soymilk', 'pure vanilla extract', 'whole wheat flour', 'baking soda', 'salt', 'farina', 'chocolate chips', 'carob chips', 'walnuts']",12,peanut butter canola oil sugar soymilk pure vanilla extract whole wheat flour baking soda salt farina chocolate chips carob chips walnuts,snacks
8793,221099,vegan chocolate mousse,10,10,"['silken tofu', 'almond milk', 'chocolate chips', 'vanilla extract']",4,silken tofu almond milk chocolate chips vanilla extract,other
8801,221108,vegan chocolate shake,5,3,"['vanilla-flavored soymilk', 'bananas', 'cocoa powder']",3,vanilla flavored soymilk bananas cocoa powder,main_meal
8811,221119,vegan coconut curry,50,9,"['quinoa', 'green beans', 'chickpeas', 'serrano peppers', 'garlic cloves', 'vegetable broth', 'cinnamon', 'cumin', 'turmeric', 'coriander', 'light coconut milk', 'tomatoes', 'eggplant', 'onion']",14,quinoa green beans chickpeas serrano peppers garlic cloves vegetable broth cinnamon cumin turmeric coriander light coconut milk tomatoes eggplant onion,main_meal
8845,221164,vegan dlt  dulse  lettuce  and tomato  sandwiches,10,6,"['bread', 'vegan mayonnaise', 'dulse seaweed', 'tomatoes', 'lettuce']",5,bread vegan mayonnaise dulse seaweed tomatoes lettuce,snacks
8851,221172,vegan eggless egg salad,10,10,"['extra firm tofu', 'apple cider vinegar', 'agave nectar', 'prepared mustard', 'vegan mayonnaise', 'turmeric', 'nutritional yeast', 'fresh parsley', 'carrot', 'white onions', 'celery', 'paprika', 'cayenne pepper', 'sea salt']",14,extra firm tofu apple cider vinegar agave nectar prepared mustard vegan mayonnaise turmeric nutritional yeast fresh parsley carrot white onions celery paprika cayenne pepper sea salt,snacks
